Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
426422,2010-03-05,Chittagong,Zohur Ahmed Chowdhury Stadium,"Bangladesh, England",England,normal,45 runs,50,Bangladesh,field,C Kieswetter,"Enamul Haque, RJ Tucker",JJ Crowe,ODI,male
426428,2010-09-10,Chester-le-Street,Riverside Ground,"England, Pakistan",England,normal,24 runs,50,Pakistan,field,SM Davies,"BR Doctrove, IJ Gould",JJ Crowe,ODI,male
426429,2010-09-12,Leeds,Headingley,"England, Pakistan",England,normal,4 wickets,50,Pakistan,bat,AJ Strauss,"BR Doctrove, NJ Llong",JJ Crowe,ODI,male
426430,2010-09-17,London,Kennington Oval,"England, Pakistan",Pakistan,normal,23 runs,50,Pakistan,bat,Umar Gul,"BR Doctrove, RK Illingworth",JJ Crowe,ODI,male
426431,2010-09-20,London,Lord's,"England, Pakistan",Pakistan,normal,38 runs,50,Pakistan,bat,Abdul Razzaq,"BR Doctrove, RA Kettleborough",JJ Crowe,ODI,male
426432,2010-09-22,Southampton,The Rose Bowl,"England, Pakistan",England,normal,121 runs,50,England,bat,EJG Morgan,"BR Doctrove, IJ Gould",JJ Crowe,ODI,male
426720,2009-11-03,Abu Dhabi,Sheikh Zayed Stadium,"New Zealand, Pakistan",Pakistan,normal,138 runs,50,Pakistan,bat,Shahid Afridi,"Asad Rauf, BNJ Oxenford",AJ Pycroft,ODI,male
426721,2009-11-06,Abu Dhabi,Sheikh Zayed Stadium,"New Zealand, Pakistan",New Zealand,normal,64 runs,50,New Zealand,bat,BB McCullum,"BNJ Oxenford, Zameer Haider",AJ Pycroft,ODI,male
426722,2009-11-09,Abu Dhabi,Sheikh Zayed Stadium,"New Zealand, Pakistan",New Zealand,normal,7 runs,50,New Zealand,bat,Mohammad Amir,"Nadeem Ghauri, BNJ Oxenford",AJ Pycroft,ODI,male
430508,2009-11-08,Benoni,Willowmoore Park,"South Africa, Zimbabwe",South Africa,normal,45 runs,50,Zimbabwe,field,T Taibu,"HDPK Dharmasena, RE Koertzen",J Srinath,ODI,male
430509,2009-11-10,Centurion,SuperSport Park,"South Africa, Zimbabwe",South Africa,normal,212 runs,50,Zimbabwe,field,JP Duminy,"JD Cloete, HDPK Dharmasena",J Srinath,ODI,male
430886,2009-12-15,Rajkot,Madhavrao Scindia Cricket Ground,"India, Sri Lanka",India,normal,3 runs,50,Sri Lanka,field,V Sehwag,"M Erasmus, SK Tarapore",JJ Crowe,ODI,male
430887,2009-12-18,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","India, Sri Lanka",Sri Lanka,normal,3 wickets,50,India,bat,TM Dilshan,"M Erasmus, SK Tarapore",JJ Crowe,ODI,male
430888,2009-12-21,Cuttack,Barabati Stadium,"India, Sri Lanka",India,normal,7 wickets,50,Sri Lanka,bat,RA Jadeja,"M Erasmus, SS Hazare",AG Hurst,ODI,male
430889,2009-12-24,Kolkata,Eden Gardens,"India, Sri Lanka",India,normal,7 wickets,50,Sri Lanka,bat,G Gambhir,"M Erasmus, SS Hazare",AG Hurst,ODI,male
430890,2009-12-27,Delhi,Feroz Shah Kotla,"India, Sri Lanka",Null,no result,Null,50,India,field,Null,"M Erasmus, SK Tarapore",AG Hurst,ODI,male
433558,2011-02-19,Mirpur,Shere Bangla National Stadium,"Bangladesh, India",India,normal,87 runs,50,Bangladesh,field,V Sehwag,"SJ Davis, HDPK Dharmasena",RS Madugalle,ODI,male
433559,2011-02-20,Chennai,"MA Chidambaram Stadium, Chepauk","Kenya, New Zealand",New Zealand,normal,10 wickets,50,Kenya,bat,HK Bennett,"M Erasmus, RJ Tucker",RS Mahanama,ODI,male
433560,2011-02-20,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Sri Lanka, Canada",Sri Lanka,normal,210 runs,50,Sri Lanka,bat,DPMD Jayawardene,"IJ Gould, SK Tarapore",BC Broad,ODI,male
433561,2011-02-21,Ahmedabad,"Sardar Patel Stadium, Motera","Australia, Zimbabwe",Australia,normal,91 runs,50,Australia,bat,SR Watson,"EAR de Silva, RA Kettleborough",RS Mahanama,ODI,male
433562,2011-02-22,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","England, Netherlands",England,normal,6 wickets,50,Netherlands,bat,RN ten Doeschate,"Asad Rauf, BNJ Oxenford",RS Madugalle,ODI,male
433563,2011-02-23,Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Kenya, Pakistan",Pakistan,normal,205 runs,50,Pakistan,bat,Umar Akmal,"AL Hill, NJ Llong",BC Broad,ODI,male
433564,2011-02-24,Delhi,Feroz Shah Kotla,"South Africa, West Indies",South Africa,normal,7 wickets,50,South Africa,field,AB de Villiers,"AM Saheba, SJA Taufel",JJ Crowe,ODI,male
433565,2011-02-25,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","Australia, New Zealand",Australia,normal,7 wickets,50,Australia,field,MG Johnson,"HDPK Dharmasena, BR Doctrove",RS Madugalle,ODI,male
433566,2011-02-25,Mirpur,Shere Bangla National Stadium,"Bangladesh, Ireland",Bangladesh,normal,27 runs,50,Bangladesh,bat,Tamim Iqbal,"Aleem Dar, RJ Tucker",RS Mahanama,ODI,male
433567,2011-02-26,Colombo,R Premadasa Stadium,"Sri Lanka, Pakistan",Pakistan,normal,11 runs,50,Pakistan,bat,Shahid Afridi,"IJ Gould, DJ Harper",BC Broad,ODI,male
433568,2011-02-27,Bangalore,M Chinnaswamy Stadium,"India, England",Null,tie,Null,50,India,bat,AJ Strauss,"BF Bowden, M Erasmus",RS Mahanama,ODI,male
433569,2011-02-28,Delhi,Feroz Shah Kotla,"Netherlands, West Indies",West Indies,normal,215 runs,50,Netherlands,field,KAJ Roach,"AM Saheba, SJA Taufel",JJ Crowe,ODI,male
433570,2011-02-28,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","Canada, Zimbabwe",Zimbabwe,normal,175 runs,50,Zimbabwe,bat,T Taibu,"Asad Rauf, BNJ Oxenford",RS Madugalle,ODI,male
